loss,n,N,d,positive_score_minimum,negative_score_maximum,extrema_midpoint_threshold,margin,false_positive_count,negative_count,false_positive_rate,false_negative_count,positive_count,false_negative_rate
InfoNCE,20,190,5,0.33717045187950134,0.6882262229919434,0.5126983374357224,-0.351055771112442,90,3420,0.02631578947368421,136,380,0.35789473684210527
InfoNCE,20,190,6,0.39332225918769836,0.6343345642089844,0.5138284116983414,-0.241012305021286,10,3420,0.0029239766081871343,124,380,0.3263157894736842
InfoNCE,20,190,7,0.4038602113723755,0.6750255227088928,0.5394428670406342,-0.27116531133651733,2,3420,0.0005847953216374269,140,380,0.3684210526315789
InfoNCE,20,190,8,0.4476604163646698,0.4987706243991852,0.4732155203819275,-0.05111020803451538,3,3420,0.0008771929824561404,16,380,0.042105263157894736
InfoNCE,20,190,9,0.42918166518211365,0.44126397371292114,0.4352228194475174,-0.012082308530807495,2,3420,0.0005847953216374269,4,380,0.010526315789473684
InfoNCE,20,190,10,0.48016777634620667,0.3895614743232727,0.4348646253347397,0.09060630202293396,0,3420,0.0,0,380,0.0
InfoNCE,20,190,11,0.45805609226226807,0.3255596458911896,0.3918078690767288,0.1324964463710785,0,3420,0.0,0,380,0.0
InfoNCE,20,190,12,0.48607900738716125,0.32876837253570557,0.4074236899614334,0.1573106348514557,0,3420,0.0,0,380,0.0
InfoNCE,20,190,13,0.48320940136909485,0.26996511220932007,0.37658725678920746,0.21324428915977478,0,3420,0.0,0,380,0.0
InfoNCE,20,190,14,0.4843590259552002,0.24631601572036743,0.3653375208377838,0.23804301023483276,0,3420,0.0,0,380,0.0
InfoNCE,20,190,15,0.4907975196838379,0.22009459137916565,0.35544605553150177,0.27070292830467224,0,3420,0.0,0,380,0.0
InfoNCE,20,190,16,0.5054298639297485,0.19777564704418182,0.3516027554869652,0.3076542168855667,0,3420,0.0,0,380,0.0
InfoNCE,20,190,17,0.5013917684555054,0.22343964874744415,0.36241570860147476,0.2779521197080612,0,3420,0.0,0,380,0.0
InfoNCE,20,190,18,0.4609379470348358,0.20654013752937317,0.3337390422821045,0.25439780950546265,0,3420,0.0,0,380,0.0
InfoNCE,20,190,19,0.5024100542068481,0.1767367720603943,0.3395734131336212,0.32567328214645386,0,3420,0.0,0,380,0.0
InfoNCE,20,190,20,0.42996421456336975,0.1719825565814972,0.30097338557243347,0.25798165798187256,0,3420,0.0,0,380,0.0
InfoNCE,20,190,21,0.5110686421394348,0.14328187704086304,0.3271752595901489,0.3677867650985718,0,3420,0.0,0,380,0.0
InfoNCE,20,190,22,0.45740821957588196,0.17715515196323395,0.31728168576955795,0.280253067612648,0,3420,0.0,0,380,0.0
InfoNCE,20,190,23,0.4697343111038208,0.17386560142040253,0.32179995626211166,0.2958687096834183,0,3420,0.0,0,380,0.0
InfoNCE,20,190,24,0.47334232926368713,0.14104600250720978,0.30719416588544846,0.33229632675647736,0,3420,0.0,0,380,0.0
InfoNCE,20,190,25,0.5072683691978455,0.13163624703884125,0.31945230811834335,0.3756321221590042,0,3420,0.0,0,380,0.0
InfoNCE,20,190,26,0.4642287790775299,0.12858039140701294,0.2964045852422714,0.33564838767051697,0,3420,0.0,0,380,0.0
InfoNCE,20,190,27,0.4858691990375519,0.1408710479736328,0.31337012350559235,0.34499815106391907,0,3420,0.0,0,380,0.0
InfoNCE,20,190,28,0.4632297158241272,0.12952522933483124,0.2963774725794792,0.33370448648929596,0,3420,0.0,0,380,0.0
