loss,n,N,d,false_positive_count,negative_count,false_positive_rate,false_negative_count,positive_count,false_negative_rate
InfoNCE,20,190,5,1673,3420,0.4891812865497076,0,380,0.0
InfoNCE,20,190,6,1584,3420,0.4631578947368421,0,380,0.0
InfoNCE,20,190,7,1611,3420,0.4710526315789474,0,380,0.0
InfoNCE,20,190,8,1568,3420,0.4584795321637427,0,380,0.0
InfoNCE,20,190,9,1523,3420,0.4453216374269006,0,380,0.0
InfoNCE,20,190,10,1480,3420,0.43274853801169594,0,380,0.0
InfoNCE,20,190,11,1484,3420,0.43391812865497076,0,380,0.0
InfoNCE,20,190,12,1408,3420,0.41169590643274856,0,380,0.0
InfoNCE,20,190,13,1370,3420,0.40058479532163743,0,380,0.0
InfoNCE,20,190,14,1363,3420,0.3985380116959064,0,380,0.0
InfoNCE,20,190,15,1301,3420,0.3804093567251462,0,380,0.0
InfoNCE,20,190,16,1282,3420,0.37485380116959066,0,380,0.0
InfoNCE,20,190,17,1128,3420,0.3298245614035088,0,380,0.0
InfoNCE,20,190,18,1108,3420,0.32397660818713453,0,380,0.0
InfoNCE,20,190,19,816,3420,0.23859649122807017,0,380,0.0
InfoNCE,20,190,20,840,3420,0.2456140350877193,0,380,0.0
InfoNCE,20,190,21,782,3420,0.22865497076023392,0,380,0.0
InfoNCE,20,190,22,826,3420,0.2415204678362573,0,380,0.0
InfoNCE,20,190,23,814,3420,0.23801169590643276,0,380,0.0
InfoNCE,20,190,24,852,3420,0.24912280701754386,0,380,0.0
InfoNCE,20,190,25,719,3420,0.21023391812865497,0,380,0.0
InfoNCE,20,190,26,752,3420,0.2198830409356725,0,380,0.0
InfoNCE,20,190,27,610,3420,0.1783625730994152,0,380,0.0
InfoNCE,20,190,28,778,3420,0.22748538011695907,0,380,0.0
InfoNCE,20,190,29,693,3420,0.2026315789473684,0,380,0.0
InfoNCE,20,190,30,745,3420,0.21783625730994152,0,380,0.0
Sigmoid,20,190,5,20,3420,0.005847953216374269,0,380,0.0
Sigmoid,20,190,6,0,3420,0.0,0,380,0.0
Sigmoid,20,190,7,0,3420,0.0,0,380,0.0
Sigmoid,20,190,8,0,3420,0.0,0,380,0.0
Sigmoid,20,190,9,0,3420,0.0,0,380,0.0
Sigmoid,20,190,10,0,3420,0.0,0,380,0.0
Sigmoid,20,190,11,0,3420,0.0,0,380,0.0
Sigmoid,20,190,12,0,3420,0.0,0,380,0.0
Sigmoid,20,190,13,0,3420,0.0,0,380,0.0
Sigmoid,20,190,14,0,3420,0.0,0,380,0.0
Sigmoid,20,190,15,0,3420,0.0,0,380,0.0
Sigmoid,20,190,16,0,3420,0.0,0,380,0.0
Sigmoid,20,190,17,0,3420,0.0,0,380,0.0
Sigmoid,20,190,18,0,3420,0.0,0,380,0.0
Sigmoid,20,190,19,0,3420,0.0,0,380,0.0
Sigmoid,20,190,20,0,3420,0.0,0,380,0.0
Sigmoid,20,190,21,0,3420,0.0,0,380,0.0
Sigmoid,20,190,22,0,3420,0.0,0,380,0.0
Sigmoid,20,190,23,0,3420,0.0,0,380,0.0
Sigmoid,20,190,24,0,3420,0.0,0,380,0.0
Sigmoid,20,190,25,0,3420,0.0,0,380,0.0
Sigmoid,20,190,26,0,3420,0.0,0,380,0.0
Sigmoid,20,190,27,0,3420,0.0,0,380,0.0
Sigmoid,20,190,28,0,3420,0.0,0,380,0.0
Sigmoid,20,190,29,0,3420,0.0,0,380,0.0
Sigmoid,20,190,30,0,3420,0.0,0,380,0.0
InfoNCE,40,780,5,15975,29640,0.5389676113360323,0,1560,0.0
InfoNCE,40,780,6,15291,29640,0.5158906882591093,0,1560,0.0
InfoNCE,40,780,7,14982,29640,0.5054655870445344,0,1560,0.0
InfoNCE,40,780,8,14438,29640,0.4871120107962213,0,1560,0.0
InfoNCE,40,780,9,14148,29640,0.47732793522267203,0,1560,0.0
InfoNCE,40,780,10,13817,29640,0.46616059379217273,0,1560,0.0
InfoNCE,40,780,11,13824,29640,0.46639676113360323,0,1560,0.0
InfoNCE,40,780,12,13632,29640,0.45991902834008097,0,1560,0.0
InfoNCE,40,780,13,13627,29640,0.4597503373819163,0,1560,0.0
InfoNCE,40,780,14,13495,29640,0.45529689608636975,0,1560,0.0
InfoNCE,40,780,15,13540,29640,0.45681511470985153,0,1560,0.0
InfoNCE,40,780,16,13548,29640,0.457085020242915,0,1560,0.0
InfoNCE,40,780,17,13534,29640,0.45661268556005397,0,1560,0.0
InfoNCE,40,780,18,13421,29640,0.45280026990553307,0,1560,0.0
InfoNCE,40,780,19,13564,29640,0.4576248313090418,0,1560,0.0
InfoNCE,40,780,20,13352,29640,0.45047233468286096,0,1560,0.0
InfoNCE,40,780,21,13529,29640,0.45644399460188934,0,1560,0.0
InfoNCE,40,780,22,13488,29640,0.45506072874493925,0,1560,0.0
InfoNCE,40,780,23,13422,29640,0.45283400809716595,0,1560,0.0
InfoNCE,40,780,24,13451,29640,0.4538124156545209,0,1560,0.0
InfoNCE,40,780,25,13335,29640,0.4498987854251012,0,1560,0.0
InfoNCE,40,780,26,13219,29640,0.4459851551956815,0,1560,0.0
InfoNCE,40,780,27,13134,29640,0.44311740890688256,0,1560,0.0
InfoNCE,40,780,28,12834,29640,0.43299595141700403,0,1560,0.0
InfoNCE,40,780,29,13013,29640,0.4390350877192982,0,1560,0.0
InfoNCE,40,780,30,12711,29640,0.4288461538461538,0,1560,0.0
Sigmoid,40,780,5,40,29640,0.001349527665317139,470,1560,0.30128205128205127
Sigmoid,40,780,6,15,29640,0.0005060728744939271,34,1560,0.021794871794871794
Sigmoid,40,780,7,0,29640,0.0,0,1560,0.0
Sigmoid,40,780,8,0,29640,0.0,0,1560,0.0
Sigmoid,40,780,9,0,29640,0.0,0,1560,0.0
Sigmoid,40,780,10,0,29640,0.0,0,1560,0.0
Sigmoid,40,780,11,0,29640,0.0,0,1560,0.0
Sigmoid,40,780,12,0,29640,0.0,0,1560,0.0
Sigmoid,40,780,13,0,29640,0.0,0,1560,0.0
Sigmoid,40,780,14,0,29640,0.0,0,1560,0.0
Sigmoid,40,780,15,0,29640,0.0,0,1560,0.0
Sigmoid,40,780,16,0,29640,0.0,0,1560,0.0
Sigmoid,40,780,17,0,29640,0.0,0,1560,0.0
Sigmoid,40,780,18,0,29640,0.0,0,1560,0.0
Sigmoid,40,780,19,0,29640,0.0,0,1560,0.0
Sigmoid,40,780,20,0,29640,0.0,0,1560,0.0
Sigmoid,40,780,21,0,29640,0.0,0,1560,0.0
Sigmoid,40,780,22,0,29640,0.0,0,1560,0.0
Sigmoid,40,780,23,0,29640,0.0,0,1560,0.0
Sigmoid,40,780,24,0,29640,0.0,0,1560,0.0
Sigmoid,40,780,25,0,29640,0.0,0,1560,0.0
Sigmoid,40,780,26,0,29640,0.0,0,1560,0.0
Sigmoid,40,780,27,0,29640,0.0,0,1560,0.0
Sigmoid,40,780,28,0,29640,0.0,0,1560,0.0
Sigmoid,40,780,29,0,29640,0.0,0,1560,0.0
Sigmoid,40,780,30,0,29640,0.0,0,1560,0.0
InfoNCE,60,1770,5,56269,102660,0.5481102669004481,0,3540,0.0
InfoNCE,60,1770,6,54750,102660,0.5333138515488018,0,3540,0.0
InfoNCE,60,1770,7,53314,102660,0.5193259302552113,0,3540,0.0
InfoNCE,60,1770,8,52192,102660,0.5083966491330606,0,3540,0.0
InfoNCE,60,1770,9,50602,102660,0.4929086304305474,0,3540,0.0
InfoNCE,60,1770,10,49861,102660,0.48569062926164036,0,3540,0.0
InfoNCE,60,1770,11,48561,102660,0.47302746931618933,0,3540,0.0
InfoNCE,60,1770,12,48502,102660,0.4724527566725112,0,3540,0.0
InfoNCE,60,1770,13,48362,102660,0.47108903175530875,0,3540,0.0
InfoNCE,60,1770,14,48067,102660,0.468215468536918,0,3540,0.0
InfoNCE,60,1770,15,47915,102660,0.46673485291252675,0,3540,0.0
InfoNCE,60,1770,16,47797,102660,0.4655854276251704,0,3540,0.0
InfoNCE,60,1770,17,48147,102660,0.4689947399181765,0,3540,0.0
InfoNCE,60,1770,18,47933,102660,0.46691018897330994,0,3540,0.0
InfoNCE,60,1770,19,47944,102660,0.467017338788233,0,3540,0.0
InfoNCE,60,1770,20,47996,102660,0.467523865186051,0,3540,0.0
InfoNCE,60,1770,21,47929,102660,0.466871225404247,0,3540,0.0
InfoNCE,60,1770,22,48261,102660,0.47010520163646985,0,3540,0.0
InfoNCE,60,1770,23,48058,102660,0.46812780050652636,0,3540,0.0
InfoNCE,60,1770,24,48312,102660,0.47060198714202217,0,3540,0.0
InfoNCE,60,1770,25,47956,102660,0.46713422949542177,0,3540,0.0
InfoNCE,60,1770,26,48143,102660,0.46895577634911356,0,3540,0.0
InfoNCE,60,1770,27,48287,102660,0.4703584648353789,0,3540,0.0
InfoNCE,60,1770,28,48272,102660,0.4702123514513929,0,3540,0.0
InfoNCE,60,1770,29,48345,102660,0.4709234365867913,0,3540,0.0
InfoNCE,60,1770,30,48417,102660,0.471624780829924,0,3540,0.0
Sigmoid,60,1770,5,62,102660,0.0006039353204753556,1867,3540,0.5274011299435029
Sigmoid,60,1770,6,135,102660,0.0013150204558737579,507,3540,0.14322033898305087
Sigmoid,60,1770,7,0,102660,0.0,0,3540,0.0
Sigmoid,60,1770,8,0,102660,0.0,0,3540,0.0
Sigmoid,60,1770,9,0,102660,0.0,0,3540,0.0
Sigmoid,60,1770,10,0,102660,0.0,0,3540,0.0
Sigmoid,60,1770,11,0,102660,0.0,0,3540,0.0
Sigmoid,60,1770,12,0,102660,0.0,0,3540,0.0
Sigmoid,60,1770,13,0,102660,0.0,0,3540,0.0
Sigmoid,60,1770,14,0,102660,0.0,0,3540,0.0
Sigmoid,60,1770,15,0,102660,0.0,0,3540,0.0
Sigmoid,60,1770,16,0,102660,0.0,0,3540,0.0
Sigmoid,60,1770,17,0,102660,0.0,0,3540,0.0
Sigmoid,60,1770,18,0,102660,0.0,0,3540,0.0
Sigmoid,60,1770,19,0,102660,0.0,0,3540,0.0
Sigmoid,60,1770,20,0,102660,0.0,0,3540,0.0
Sigmoid,60,1770,21,0,102660,0.0,0,3540,0.0
Sigmoid,60,1770,22,0,102660,0.0,0,3540,0.0
Sigmoid,60,1770,23,0,102660,0.0,0,3540,0.0
Sigmoid,60,1770,24,0,102660,0.0,0,3540,0.0
Sigmoid,60,1770,25,0,102660,0.0,0,3540,0.0
Sigmoid,60,1770,26,0,102660,0.0,0,3540,0.0
Sigmoid,60,1770,27,0,102660,0.0,0,3540,0.0
Sigmoid,60,1770,28,0,102660,0.0,0,3540,0.0
Sigmoid,60,1770,29,0,102660,0.0,0,3540,0.0
Sigmoid,60,1770,30,0,102660,0.0,0,3540,0.0
InfoNCE,80,3160,5,136988,246480,0.5557773450178514,0,6320,0.0
InfoNCE,80,3160,6,131149,246480,0.5320877961700746,0,6320,0.0
InfoNCE,80,3160,7,130525,246480,0.5295561506004544,0,6320,0.0
InfoNCE,80,3160,8,127759,246480,0.5183341447581954,0,6320,0.0
InfoNCE,80,3160,9,124123,246480,0.503582440765985,0,6320,0.0
InfoNCE,80,3160,10,122091,246480,0.49533836416747806,0,6320,0.0
InfoNCE,80,3160,11,119277,246480,0.4839216163583252,0,6320,0.0
InfoNCE,80,3160,12,117911,246480,0.4783795845504706,0,6320,0.0
InfoNCE,80,3160,13,117337,246480,0.4760507951963648,0,6320,0.0
InfoNCE,80,3160,14,117075,246480,0.4749878286270691,0,6320,0.0
InfoNCE,80,3160,15,116865,246480,0.47413583252190844,0,6320,0.0
InfoNCE,80,3160,16,116934,246480,0.4744157740993184,0,6320,0.0
InfoNCE,80,3160,17,116944,246480,0.47445634534242126,0,6320,0.0
InfoNCE,80,3160,18,116471,246480,0.47253732554365463,0,6320,0.0
InfoNCE,80,3160,19,116897,246480,0.4742656604998377,0,6320,0.0
InfoNCE,80,3160,20,116655,246480,0.47328383641674776,0,6320,0.0
InfoNCE,80,3160,21,116805,246480,0.4738924050632911,0,6320,0.0
InfoNCE,80,3160,22,116422,246480,0.47233852645245045,0,6320,0.0
InfoNCE,80,3160,23,117290,246480,0.47586011035378123,0,6320,0.0
InfoNCE,80,3160,24,117246,246480,0.4756815968841285,0,6320,0.0
InfoNCE,80,3160,25,117290,246480,0.47586011035378123,0,6320,0.0
InfoNCE,80,3160,26,117224,246480,0.47559234014930213,0,6320,0.0
InfoNCE,80,3160,27,118126,246480,0.4792518662771827,0,6320,0.0
InfoNCE,80,3160,28,117673,246480,0.47741398896462184,0,6320,0.0
InfoNCE,80,3160,29,117987,246480,0.47868792599805254,0,6320,0.0
InfoNCE,80,3160,30,118223,246480,0.4796454073352807,0,6320,0.0
Sigmoid,80,3160,5,115,246480,0.00046656929568321973,4503,6320,0.7125
Sigmoid,80,3160,6,375,246480,0.001521421616358325,1960,6320,0.310126582278481
Sigmoid,80,3160,7,0,246480,0.0,17,6320,0.002689873417721519
Sigmoid,80,3160,8,0,246480,0.0,0,6320,0.0
Sigmoid,80,3160,9,0,246480,0.0,0,6320,0.0
Sigmoid,80,3160,10,0,246480,0.0,0,6320,0.0
Sigmoid,80,3160,11,0,246480,0.0,0,6320,0.0
Sigmoid,80,3160,12,0,246480,0.0,0,6320,0.0
Sigmoid,80,3160,13,0,246480,0.0,0,6320,0.0
Sigmoid,80,3160,14,0,246480,0.0,0,6320,0.0
Sigmoid,80,3160,15,0,246480,0.0,0,6320,0.0
Sigmoid,80,3160,16,0,246480,0.0,0,6320,0.0
Sigmoid,80,3160,17,0,246480,0.0,0,6320,0.0
Sigmoid,80,3160,18,0,246480,0.0,0,6320,0.0
Sigmoid,80,3160,19,0,246480,0.0,0,6320,0.0
Sigmoid,80,3160,20,0,246480,0.0,0,6320,0.0
Sigmoid,80,3160,21,0,246480,0.0,0,6320,0.0
Sigmoid,80,3160,22,0,246480,0.0,0,6320,0.0
Sigmoid,80,3160,23,0,246480,0.0,0,6320,0.0
Sigmoid,80,3160,24,0,246480,0.0,0,6320,0.0
Sigmoid,80,3160,25,0,246480,0.0,0,6320,0.0
Sigmoid,80,3160,26,0,246480,0.0,0,6320,0.0
Sigmoid,80,3160,27,0,246480,0.0,0,6320,0.0
Sigmoid,80,3160,28,0,246480,0.0,0,6320,0.0
Sigmoid,80,3160,29,0,246480,0.0,0,6320,0.0
Sigmoid,80,3160,30,0,246480,0.0,0,6320,0.0
InfoNCE,100,4950,5,274825,485100,0.5665326736755308,0,9900,0.0
InfoNCE,100,4950,6,265230,485100,0.5467532467532468,0,9900,0.0
InfoNCE,100,4950,7,258846,485100,0.5335930735930736,0,9900,0.0
InfoNCE,100,4950,8,255220,485100,0.5261183261183261,0,9900,0.0
InfoNCE,100,4950,9,248944,485100,0.5131807874665018,0,9900,0.0
InfoNCE,100,4950,10,243563,485100,0.5020882292310864,0,9900,0.0
InfoNCE,100,4950,11,238097,485100,0.49082044939187797,0,9900,0.0
InfoNCE,100,4950,12,235828,485100,0.48614306328592044,0,9900,0.0
InfoNCE,100,4950,13,233102,485100,0.4805236033807463,0,9900,0.0
InfoNCE,100,4950,14,232109,485100,0.47847660276231707,0,9900,0.0
InfoNCE,100,4950,15,231425,485100,0.47706658420944137,0,9900,0.0
InfoNCE,100,4950,16,232098,485100,0.4784539270253556,0,9900,0.0
InfoNCE,100,4950,17,231666,485100,0.47756338899196044,0,9900,0.0
InfoNCE,100,4950,18,231018,485100,0.4762275819418677,0,9900,0.0
InfoNCE,100,4950,19,231726,485100,0.477687074829932,0,9900,0.0
InfoNCE,100,4950,20,231797,485100,0.47783343640486503,0,9900,0.0
InfoNCE,100,4950,21,231040,485100,0.4762729334157906,0,9900,0.0
InfoNCE,100,4950,22,231670,485100,0.4775716347144919,0,9900,0.0
InfoNCE,100,4950,23,232889,485100,0.48008451865594726,0,9900,0.0
InfoNCE,100,4950,24,232508,485100,0.4792991135848279,0,9900,0.0
InfoNCE,100,4950,25,232545,485100,0.4793753865182437,0,9900,0.0
InfoNCE,100,4950,26,233115,485100,0.4805504019789734,0,9900,0.0
InfoNCE,100,4950,27,232961,485100,0.4802329416615131,0,9900,0.0
InfoNCE,100,4950,28,233760,485100,0.4818800247371676,0,9900,0.0
InfoNCE,100,4950,29,235023,485100,0.4844836116264688,0,9900,0.0
InfoNCE,100,4950,30,233960,485100,0.48229231086373947,0,9900,0.0
Sigmoid,100,4950,5,134,485100,0.0002762317048031334,9150,9900,0.9242424242424242
Sigmoid,100,4950,6,799,485100,0.0016470830756545043,4743,9900,0.47909090909090907
Sigmoid,100,4950,7,29,485100,5.9781488352916925e-05,190,9900,0.01919191919191919
Sigmoid,100,4950,8,0,485100,0.0,0,9900,0.0
Sigmoid,100,4950,9,0,485100,0.0,0,9900,0.0
Sigmoid,100,4950,10,0,485100,0.0,0,9900,0.0
Sigmoid,100,4950,11,0,485100,0.0,0,9900,0.0
Sigmoid,100,4950,12,0,485100,0.0,0,9900,0.0
Sigmoid,100,4950,13,0,485100,0.0,0,9900,0.0
Sigmoid,100,4950,14,0,485100,0.0,0,9900,0.0
Sigmoid,100,4950,15,0,485100,0.0,0,9900,0.0
Sigmoid,100,4950,16,0,485100,0.0,0,9900,0.0
Sigmoid,100,4950,17,0,485100,0.0,0,9900,0.0
Sigmoid,100,4950,18,0,485100,0.0,0,9900,0.0
Sigmoid,100,4950,19,0,485100,0.0,0,9900,0.0
Sigmoid,100,4950,20,0,485100,0.0,0,9900,0.0
Sigmoid,100,4950,21,0,485100,0.0,0,9900,0.0
Sigmoid,100,4950,22,0,485100,0.0,0,9900,0.0
Sigmoid,100,4950,23,0,485100,0.0,0,9900,0.0
Sigmoid,100,4950,24,0,485100,0.0,0,9900,0.0
Sigmoid,100,4950,25,0,485100,0.0,0,9900,0.0
Sigmoid,100,4950,26,0,485100,0.0,0,9900,0.0
Sigmoid,100,4950,27,0,485100,0.0,0,9900,0.0
Sigmoid,100,4950,28,0,485100,0.0,0,9900,0.0
Sigmoid,100,4950,29,0,485100,0.0,0,9900,0.0
Sigmoid,100,4950,30,0,485100,0.0,0,9900,0.0
InfoNCE,120,7140,5,464326,842520,0.5511157005174951,0,14280,0.0
InfoNCE,120,7140,6,459526,842520,0.5454185063856051,0,14280,0.0
InfoNCE,120,7140,7,453179,842520,0.5378851540616246,0,14280,0.0
InfoNCE,120,7140,8,442673,842520,0.5254154204054503,0,14280,0.0
InfoNCE,120,7140,9,437041,842520,0.5187307126240327,0,14280,0.0
InfoNCE,120,7140,10,429436,842520,0.5097042206713194,0,14280,0.0
InfoNCE,120,7140,11,417889,842520,0.4959989080377914,0,14280,0.0
