loss,n,N,d,largest_positive_margin,best_step,final_margin
InfoNCE,20,190,6,0.0,15000,-0.120506152510643
InfoNCE,40,780,6,0.0,45000,-0.19586263597011566
InfoNCE,60,1770,6,0.0,23000,-0.2723546028137207
InfoNCE,80,3160,6,0.0,65000,-0.20425929129123688
InfoNCE,100,4950,6,0.0,39000,-0.26961612701416016
InfoNCE,120,7140,6,0.0,23000,-0.294974148273468
InfoNCE,140,9730,6,0.0,18000,-0.3154388964176178
InfoNCE,160,12720,6,0.0,27000,-0.3289448916912079
InfoNCE,180,16110,6,0.0,15000,-0.30648404359817505
InfoNCE,200,19900,6,0.0,16000,-0.2957805395126343
InfoNCE,220,24090,6,0.0,39000,-0.29284077882766724
InfoNCE,240,28680,6,0.0,86000,-0.22858195006847382
InfoNCE,20,190,18,0.20663127303123474,26000,0.12719890475273132
InfoNCE,40,780,18,0.09174537658691406,34000,0.039611443877220154
InfoNCE,60,1770,18,0.045732155442237854,28000,-0.005856513977050781
InfoNCE,80,3160,18,0.019347921013832092,31000,-0.04025702178478241
InfoNCE,100,4950,18,0.0,21000,-0.06170476973056793
InfoNCE,120,7140,18,0.0,19000,-0.08411999046802521
InfoNCE,140,9730,18,0.0,47000,-0.0770752876996994
InfoNCE,160,12720,18,0.0,42000,-0.09136340022087097
InfoNCE,180,16110,18,0.0,53000,-0.09383156895637512
InfoNCE,200,19900,18,0.0,42000,-0.10590328276157379
InfoNCE,220,24090,18,0.0,16000,-0.11031363904476166
InfoNCE,240,28680,18,0.0,26000,-0.11878785490989685
InfoNCE,20,190,30,0.2418849915266037,8000,0.14596648514270782
InfoNCE,40,780,30,0.16659381985664368,15000,0.09975579380989075
InfoNCE,60,1770,30,0.12107503414154053,16000,0.07581725716590881
InfoNCE,80,3160,30,0.11870254576206207,23000,0.04977154731750488
InfoNCE,100,4950,30,0.09541846811771393,24000,0.04041773080825806
InfoNCE,120,7140,30,0.07593712210655212,41000,0.022688940167427063
InfoNCE,140,9730,30,0.06943348050117493,28000,0.02260623872280121
InfoNCE,160,12720,30,0.06448778510093689,34000,0.013805463910102844
InfoNCE,180,16110,30,0.050702065229415894,44000,0.010237619280815125
InfoNCE,200,19900,30,0.048049986362457275,26000,0.000965118408203125
InfoNCE,220,24090,30,0.04493334889411926,35000,-0.003962844610214233
InfoNCE,240,28680,30,0.02648910880088806,20000,-0.008074149489402771
Sigmoid,20,190,6,0.009975146502256393,77000,0.009870660491287708
Sigmoid,40,780,6,0.0,93000,-0.0021665729582309723
Sigmoid,60,1770,6,0.0,96000,-0.003330573905259371
Sigmoid,80,3160,6,0.0,2000,-0.003173810662701726
Sigmoid,100,4950,6,0.0,2000,-0.003119661472737789
Sigmoid,120,7140,6,0.0,2000,-0.003428845200687647
Sigmoid,140,9730,6,0.0,2000,-0.003494593780487776
Sigmoid,160,12720,6,0.0,2000,-0.0035453294403851032
Sigmoid,180,16110,6,0.0,2000,-0.003554216120392084
Sigmoid,200,19900,6,0.0,2000,-0.0036336584016680717
Sigmoid,220,24090,6,0.0,2000,-0.0038415950257331133
Sigmoid,240,28680,6,0.0,2000,-0.003873102366924286
Sigmoid,20,190,18,0.2381780743598938,100000,0.2381780743598938
Sigmoid,40,780,18,0.1393151581287384,100000,0.1393151581287384
Sigmoid,60,1770,18,0.10802485048770905,100000,0.10802485048770905
Sigmoid,80,3160,18,0.08909399062395096,100000,0.08909399062395096
Sigmoid,100,4950,18,0.07644011080265045,67000,0.06970283389091492
Sigmoid,120,7140,18,0.06939396262168884,67000,0.06091666221618652
Sigmoid,140,9730,18,0.06422165036201477,65000,0.05568695440888405
Sigmoid,160,12720,18,0.05827292054891586,50000,0.0509834960103035
Sigmoid,180,16110,18,0.05526240915060043,73000,0.047245074063539505
Sigmoid,200,19900,18,0.05377084016799927,67000,0.044796667993068695
Sigmoid,220,24090,18,0.05062885582447052,69000,0.04203345626592636
Sigmoid,240,28680,18,0.04456636309623718,83000,0.039500266313552856
Sigmoid,20,190,30,0.29005497694015503,97000,0.2900519371032715
Sigmoid,40,780,30,0.1984734833240509,100000,0.1984734833240509
Sigmoid,60,1770,30,0.17479576170444489,100000,0.17479576170444489
Sigmoid,80,3160,30,0.15485051274299622,100000,0.15485051274299622
Sigmoid,100,4950,30,0.14032015204429626,100000,0.14032015204429626
Sigmoid,120,7140,30,0.1287144124507904,100000,0.1287144124507904
Sigmoid,140,9730,30,0.12098552286624908,100000,0.12098552286624908
Sigmoid,160,12720,30,0.10371401906013489,52000,0.0951385498046875
Sigmoid,180,16110,30,0.09804888814687729,77000,0.09099886566400528
Sigmoid,200,19900,30,0.09384017437696457,75000,0.08701330423355103
Sigmoid,220,24090,30,0.09053654968738556,50000,0.08267293125391006
Sigmoid,240,28680,30,0.08858969062566757,70000,0.0788237452507019
