loss,d,n,log_n,best_margin
InfoNCE,5,20,2.995732273553991,-0.10067103803157806
InfoNCE,5,40,3.6888794541139363,-0.24509774148464203
InfoNCE,5,60,4.0943445622221,-0.2417336255311966
InfoNCE,5,80,4.382026634673881,-0.2587374746799469
InfoNCE,5,100,4.605170185988092,-0.24503253400325775
InfoNCE,5,120,4.787491742782046,-0.3371255248785019
InfoNCE,5,140,4.941642422609304,-0.2468481957912445
InfoNCE,5,160,5.075173815233827,-0.2891235202550888
InfoNCE,5,180,5.19295685089021,-0.2734766751527786
InfoNCE,5,200,5.298317366548036,-0.28596891462802887
InfoNCE,5,220,5.393627546352362,-0.2659079283475876
InfoNCE,5,240,5.480638923341991,-0.2863026261329651
InfoNCE,15,20,2.995732273553991,0.15547198802232742
InfoNCE,15,40,3.6888794541139363,0.0492476224899292
InfoNCE,15,60,4.0943445622221,0.0004296302795410156
InfoNCE,15,80,4.382026634673881,-0.030893966555595398
InfoNCE,15,100,4.605170185988092,-0.056703269481658936
InfoNCE,15,120,4.787491742782046,-0.07078008353710175
InfoNCE,15,140,4.941642422609304,-0.08535987138748169
InfoNCE,15,160,5.075173815233827,-0.0961749404668808
InfoNCE,15,180,5.19295685089021,-0.1019735038280487
InfoNCE,15,200,5.298317366548036,-0.11129787564277649
InfoNCE,15,220,5.393627546352362,-0.10976822674274445
InfoNCE,15,240,5.480638923341991,-0.12082166969776154
InfoNCE,20,20,2.995732273553991,0.20348965376615524
InfoNCE,20,40,3.6888794541139363,0.10714934766292572
InfoNCE,20,60,4.0943445622221,0.07159607112407684
InfoNCE,20,80,4.382026634673881,0.040817439556121826
InfoNCE,20,100,4.605170185988092,0.01425345242023468
InfoNCE,20,120,4.787491742782046,-0.0006847679615020752
InfoNCE,20,140,4.941642422609304,-0.011614158749580383
InfoNCE,20,160,5.075173815233827,-0.020608752965927124
InfoNCE,20,180,5.19295685089021,-0.04145956039428711
InfoNCE,20,200,5.298317366548036,-0.044568464159965515
InfoNCE,20,220,5.393627546352362,-0.058485522866249084
InfoNCE,20,240,5.480638923341991,-0.066241055727005
InfoNCE,25,20,2.995732273553991,0.2075621671974659
InfoNCE,25,40,3.6888794541139363,0.13752220571041107
InfoNCE,25,60,4.0943445622221,0.09904290735721588
InfoNCE,25,80,4.382026634673881,0.07502743601799011
InfoNCE,25,100,4.605170185988092,0.06405085325241089
InfoNCE,25,120,4.787491742782046,0.04760466516017914
InfoNCE,25,140,4.941642422609304,0.03236478567123413
InfoNCE,25,160,5.075173815233827,0.02805444598197937
InfoNCE,25,180,5.19295685089021,0.014012232422828674
InfoNCE,25,200,5.298317366548036,0.013263776898384094
InfoNCE,25,220,5.393627546352362,0.004666447639465332
InfoNCE,25,240,5.480638923341991,-0.0023997873067855835
InfoNCE,30,20,2.995732273553991,0.23635811731219292
InfoNCE,30,40,3.6888794541139363,0.16538071632385254
InfoNCE,30,60,4.0943445622221,0.13554918766021729
InfoNCE,30,80,4.382026634673881,0.11626239120960236
InfoNCE,30,100,4.605170185988092,0.10009720921516418
InfoNCE,30,120,4.787491742782046,0.07957111299037933
InfoNCE,30,140,4.941642422609304,0.07536271214485168
InfoNCE,30,160,5.075173815233827,0.05995027720928192
InfoNCE,30,180,5.19295685089021,0.057480230927467346
InfoNCE,30,200,5.298317366548036,0.04956783354282379
InfoNCE,30,220,5.393627546352362,0.03270341455936432
InfoNCE,30,240,5.480638923341991,0.03242754936218262
