loss,n,k,N,seed,d,run_dir,best_margin_in_run
InfoNCE,100,2,4950,0,15,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/infonce_random_initialization/b_rel_0/graph_n_100_k_2_N_4950_seed_0/d_15,-0.056703269481658936
InfoNCE,100,2,4950,0,20,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/infonce_random_initialization/b_rel_0/graph_n_100_k_2_N_4950_seed_0/d_20,0.01425345242023468
InfoNCE,100,2,4950,0,25,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/infonce_random_initialization/b_rel_0/graph_n_100_k_2_N_4950_seed_0/d_25,0.06405085325241089
InfoNCE,100,2,4950,0,30,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/infonce_random_initialization/b_rel_0/graph_n_100_k_2_N_4950_seed_0/d_30,0.10009720921516418
InfoNCE,100,2,4950,0,5,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/infonce_random_initialization/b_rel_0/graph_n_100_k_2_N_4950_seed_0/d_5,-0.24503253400325775
InfoNCE,120,2,7140,0,15,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/infonce_random_initialization/b_rel_0/graph_n_120_k_2_N_7140_seed_0/d_15,-0.07078008353710175
InfoNCE,120,2,7140,0,20,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/infonce_random_initialization/b_rel_0/graph_n_120_k_2_N_7140_seed_0/d_20,-0.0006847679615020752
InfoNCE,120,2,7140,0,25,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/infonce_random_initialization/b_rel_0/graph_n_120_k_2_N_7140_seed_0/d_25,0.04760466516017914
InfoNCE,120,2,7140,0,30,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/infonce_random_initialization/b_rel_0/graph_n_120_k_2_N_7140_seed_0/d_30,0.07957111299037933
InfoNCE,120,2,7140,0,5,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/infonce_random_initialization/b_rel_0/graph_n_120_k_2_N_7140_seed_0/d_5,-0.3371255248785019
InfoNCE,140,2,9730,0,15,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/infonce_random_initialization/b_rel_0/graph_n_140_k_2_N_9730_seed_0/d_15,-0.08535987138748169
InfoNCE,140,2,9730,0,20,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/infonce_random_initialization/b_rel_0/graph_n_140_k_2_N_9730_seed_0/d_20,-0.011614158749580383
InfoNCE,140,2,9730,0,25,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/infonce_random_initialization/b_rel_0/graph_n_140_k_2_N_9730_seed_0/d_25,0.03236478567123413
InfoNCE,140,2,9730,0,30,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/infonce_random_initialization/b_rel_0/graph_n_140_k_2_N_9730_seed_0/d_30,0.07536271214485168
