loss,n,k,N,d,largest_positive_margin,best_step,final_margin
InfoNCE,100,4,100,10,0.05700615048408508,88000,0.05699385702610016
InfoNCE,100,4,200,10,0.0,32000,-0.03577259182929993
InfoNCE,100,4,400,10,0.0,32000,-0.13280682265758514
InfoNCE,100,4,800,10,0.0,27000,-0.2389143407344818
InfoNCE,100,4,1600,10,0.0,25000,-0.35322830080986023
InfoNCE,100,4,3200,10,0.0,28000,-0.322640597820282
InfoNCE,100,4,6400,10,0.0,34000,-0.2939106523990631
InfoNCE,100,4,12800,10,0.0,31000,-0.3038293421268463
InfoNCE,100,4,25600,10,0.0,29000,-0.35946744680404663
InfoNCE,100,4,100,20,0.13531938195228577,21000,0.10551738739013672
InfoNCE,100,4,200,20,0.1056971400976181,76000,0.09961055219173431
InfoNCE,100,4,400,20,0.0944799929857254,100000,0.0944799929857254
InfoNCE,100,4,800,20,0.06269881129264832,69000,0.06151019036769867
InfoNCE,100,4,1600,20,0.022542372345924377,31000,0.019579589366912842
InfoNCE,100,4,3200,20,0.0,27000,-0.03834250569343567
InfoNCE,100,4,6400,20,0.0,24000,-0.08220651745796204
InfoNCE,100,4,12800,20,0.0,22000,-0.13271456956863403
InfoNCE,100,4,25600,20,0.0,12000,-0.1582619994878769
InfoNCE,100,4,100,30,0.1485961675643921,9000,0.10859428346157074
InfoNCE,100,4,200,30,0.1375606805086136,11000,0.11708121001720428
InfoNCE,100,4,400,30,0.12722152471542358,17000,0.10893237590789795
InfoNCE,100,4,800,30,0.11289631575345993,61000,0.11160644143819809
InfoNCE,100,4,1600,30,0.09760899096727371,82000,0.09426307678222656
InfoNCE,100,4,3200,30,0.068290114402771,62000,0.0645623505115509
InfoNCE,100,4,6400,30,0.05138416588306427,44000,0.03913015127182007
InfoNCE,100,4,12800,30,0.027467072010040283,49000,0.009457558393478394
InfoNCE,100,4,25600,30,0.007939457893371582,19000,-0.026061758399009705
Sigmoid,100,4,100,10,0.10935884714126587,100000,0.10935884714126587
Sigmoid,100,4,200,10,0.05823078751564026,68000,0.05290014296770096
Sigmoid,100,4,400,10,0.01878196932375431,87000,0.01788453198969364
Sigmoid,100,4,800,10,0.0,1000,-0.008684472180902958
Sigmoid,100,4,1600,10,0.0,1000,-0.020120769739151
Sigmoid,100,4,3200,10,0.0,1000,-0.03680907562375069
Sigmoid,100,4,6400,10,0.0,1000,-0.037969812750816345
Sigmoid,100,4,12800,10,0.0,1000,-0.02084215357899666
Sigmoid,100,4,25600,10,0.0,1000,-0.010263250209391117
Sigmoid,100,4,100,20,0.18597710132598877,99000,0.1859765350818634
Sigmoid,100,4,200,20,0.15387694537639618,99000,0.1538769006729126
Sigmoid,100,4,400,20,0.12392137944698334,100000,0.12392137944698334
Sigmoid,100,4,800,20,0.0968264788389206,100000,0.0968264788389206
Sigmoid,100,4,1600,20,0.0686272531747818,62000,0.05867272615432739
Sigmoid,100,4,3200,20,0.05203944444656372,50000,0.04307452589273453
Sigmoid,100,4,6400,20,0.03804825246334076,80000,0.03275567293167114
Sigmoid,100,4,12800,20,0.0283123217523098,75000,0.02448565512895584
Sigmoid,100,4,25600,20,0.020612254738807678,83000,0.017921168357133865
Sigmoid,100,4,100,30,0.20726770162582397,99000,0.20726579427719116
Sigmoid,100,4,200,30,0.18003931641578674,99000,0.18003833293914795
Sigmoid,100,4,400,30,0.15979748964309692,100000,0.15979748964309692
Sigmoid,100,4,800,30,0.14215093851089478,100000,0.14215093851089478
Sigmoid,100,4,1600,30,0.12366552650928497,100000,0.12366552650928497
Sigmoid,100,4,3200,30,0.10025974363088608,43000,0.08079159259796143
Sigmoid,100,4,6400,30,0.0851135402917862,65000,0.07154041528701782
Sigmoid,100,4,12800,30,0.07290913909673691,73000,0.059585705399513245
Sigmoid,100,4,25600,30,0.06337489932775497,71000,0.05245054513216019
InfoNCE,100,5,100,10,0.016512274742126465,58000,0.016273006796836853
InfoNCE,100,5,200,10,0.0,22000,-0.08756360411643982
InfoNCE,100,5,400,10,0.0,29000,-0.15877807140350342
InfoNCE,100,5,800,10,0.0,13000,-0.35741180181503296
InfoNCE,100,5,1600,10,0.0,22000,-0.3577670753002167
InfoNCE,100,5,3200,10,0.0,22000,-0.26607805490493774
InfoNCE,100,5,6400,10,0.0,55000,-0.32682475447654724
InfoNCE,100,5,12800,10,0.0,63000,-0.23265807330608368
InfoNCE,100,5,25600,10,0.0,71000,-0.24316468834877014
InfoNCE,100,5,100,20,0.11532709002494812,69000,0.10720005631446838
InfoNCE,100,5,200,20,0.09846064448356628,21000,0.09586839377880096
InfoNCE,100,5,400,20,0.06497029960155487,52000,0.06454642117023468
InfoNCE,100,5,800,20,0.032074496150016785,51000,0.029002487659454346
InfoNCE,100,5,1600,20,0.0,19000,-0.03289365768432617
InfoNCE,100,5,3200,20,0.0,18000,-0.07948951423168182
InfoNCE,100,5,6400,20,0.0,11000,-0.1248243898153305
InfoNCE,100,5,12800,20,0.0,15000,-0.13349932432174683
InfoNCE,100,5,25600,20,0.0,15000,-0.16909316182136536
InfoNCE,100,5,100,30,0.14052802324295044,15000,0.1170220598578453
InfoNCE,100,5,200,30,0.13137906789779663,14000,0.08536162972450256
InfoNCE,100,5,400,30,0.10068614780902863,28000,0.09254827350378036
InfoNCE,100,5,800,30,0.08979226648807526,32000,0.0832599401473999
InfoNCE,100,5,1600,30,0.07322975248098373,66000,0.07290462404489517
InfoNCE,100,5,3200,30,0.0457969605922699,22000,0.03701724112033844
InfoNCE,100,5,6400,30,0.02364782989025116,17000,0.006415605545043945
InfoNCE,100,5,12800,30,0.008927837014198303,15000,-0.05861353874206543
InfoNCE,100,5,25600,30,0.0,14000,-0.06998996436595917
Sigmoid,100,5,100,10,0.0812576413154602,83000,0.0802207663655281
Sigmoid,100,5,200,10,0.03129367530345917,78000,0.029673878103494644
Sigmoid,100,5,400,10,0.0,83000,-0.006939784623682499
Sigmoid,100,5,800,10,0.0,1000,-0.029119784012436867
Sigmoid,100,5,1600,10,0.0,1000,-0.03130936995148659
Sigmoid,100,5,3200,10,0.0,1000,-0.0645558163523674
Sigmoid,100,5,6400,10,0.0,1000,-0.10104049742221832
Sigmoid,100,5,12800,10,0.0,1000,-0.25307756662368774
Sigmoid,100,5,25600,10,0.0,1000,-0.4832189679145813
Sigmoid,100,5,100,20,0.1694314181804657,99000,0.1694304645061493
Sigmoid,100,5,200,20,0.1332378089427948,100000,0.1332378089427948
Sigmoid,100,5,400,20,0.09899662435054779,100000,0.09899662435054779
Sigmoid,100,5,800,20,0.06924352794885635,76000,0.05972220376133919
Sigmoid,100,5,1600,20,0.047573041170835495,73000,0.04089086502790451
Sigmoid,100,5,3200,20,0.03297504037618637,72000,0.02775854431092739
Sigmoid,100,5,6400,20,0.021395064890384674,78000,0.01881496235728264
Sigmoid,100,5,12800,20,0.011967148631811142,82000,0.010904509574174881
Sigmoid,100,5,25600,20,0.005883064121007919,82000,0.004946904256939888
Sigmoid,100,5,100,30,0.19236934185028076,100000,0.19236934185028076
Sigmoid,100,5,200,30,0.16442671418190002,100000,0.16442671418190002
Sigmoid,100,5,400,30,0.1403646171092987,100000,0.1403646171092987
Sigmoid,100,5,800,30,0.12028014659881592,100000,0.12028014659881592
Sigmoid,100,5,1600,30,0.10029859840869904,100000,0.10029859840869904
Sigmoid,100,5,3200,30,0.07912024855613708,70000,0.06481043994426727
Sigmoid,100,5,6400,30,0.06708523631095886,74000,0.05398479104042053
Sigmoid,100,5,12800,30,0.05520609766244888,68000,0.04697434604167938
Sigmoid,100,5,25600,30,0.047109007835388184,71000,0.038585640490055084
InfoNCE,100,6,100,10,0.0,99000,-0.054821163415908813
InfoNCE,100,6,200,10,0.0,25000,-0.10491274297237396
InfoNCE,100,6,400,10,0.0,2000,-0.3538794219493866
InfoNCE,100,6,800,10,0.0,21000,-0.2761532962322235
InfoNCE,100,6,1600,10,0.0,47000,-0.30759361386299133
InfoNCE,100,6,3200,10,0.0,2000,-0.3042311370372772
InfoNCE,100,6,6400,10,0.0,86000,-0.2636560797691345
InfoNCE,100,6,12800,10,0.0,100000,-0.31271225214004517
InfoNCE,100,6,25600,10,0.0,100000,-0.23429904878139496
InfoNCE,100,6,100,20,0.09861406683921814,27000,0.08979187905788422
InfoNCE,100,6,200,20,0.061971262097358704,75000,0.061506494879722595
InfoNCE,100,6,400,20,0.04139117896556854,22000,0.04105517268180847
InfoNCE,100,6,800,20,0.001781269907951355,17000,-0.003160238265991211
InfoNCE,100,6,1600,20,0.0,16000,-0.05336996912956238
InfoNCE,100,6,3200,20,0.0,10000,-0.0802905485033989
InfoNCE,100,6,6400,20,0.0,15000,-0.11716359853744507
InfoNCE,100,6,12800,20,0.0,12000,-0.16513457894325256
InfoNCE,100,6,25600,20,0.0,29000,-0.1584886908531189
InfoNCE,100,6,100,30,0.1217026636004448,9000,0.11700136959552765
InfoNCE,100,6,200,30,0.11953847855329514,18000,0.09034566581249237
InfoNCE,100,6,400,30,0.09397340565919876,27000,0.08450241386890411
InfoNCE,100,6,800,30,0.07971099764108658,89000,0.07966987788677216
InfoNCE,100,6,1600,30,0.050743430852890015,34000,0.049588680267333984
InfoNCE,100,6,3200,30,0.02947084605693817,16000,0.014368295669555664
InfoNCE,100,6,6400,30,0.009549111127853394,20000,-0.005958080291748047
InfoNCE,100,6,12800,30,0.0,9000,-0.038793087005615234
InfoNCE,100,6,25600,30,0.0,9000,-0.08221203833818436
Sigmoid,100,6,100,10,0.057518742978572845,66000,0.05319840833544731
Sigmoid,100,6,200,10,0.011774793267250061,93000,0.010834832675755024
Sigmoid,100,6,400,10,0.0,91000,-0.010426164604723454
Sigmoid,100,6,800,10,0.0,1000,-0.019350389018654823
Sigmoid,100,6,1600,10,0.0,1000,-0.04129127785563469
Sigmoid,100,6,3200,10,0.0,1000,-0.05921126902103424
Sigmoid,100,6,6400,10,0.0,1000,-0.09025146067142487
Sigmoid,100,6,12800,10,0.0,1000,-0.4461594820022583
Sigmoid,100,6,25600,10,0.0,1000,-0.4366845190525055
Sigmoid,100,6,100,20,0.15487083792686462,100000,0.15487083792686462
Sigmoid,100,6,200,20,0.11462874710559845,100000,0.11462874710559845
Sigmoid,100,6,400,20,0.07710911333560944,73000,0.07540681958198547
Sigmoid,100,6,800,20,0.0526830218732357,75000,0.04540041834115982
Sigmoid,100,6,1600,20,0.03162989765405655,79000,0.028317827731370926
Sigmoid,100,6,3200,20,0.017750993371009827,81000,0.016213465481996536
Sigmoid,100,6,6400,20,0.007306629791855812,87000,0.0069395992904901505
Sigmoid,100,6,12800,20,0.0,89000,-0.0012372685596346855
Sigmoid,100,6,25600,20,0.0,1000,-0.04260149598121643
Sigmoid,100,6,100,30,0.17964139580726624,99000,0.17964139580726624
Sigmoid,100,6,200,30,0.14908666908740997,100000,0.14908666908740997
Sigmoid,100,6,400,30,0.12359880656003952,98000,0.12359826266765594
Sigmoid,100,6,800,30,0.10241919010877609,100000,0.10241919010877609
Sigmoid,100,6,1600,30,0.0784965455532074,48000,0.06518664956092834
Sigmoid,100,6,3200,30,0.06411027163267136,58000,0.05402206629514694
Sigmoid,100,6,6400,30,0.052105292677879333,68000,0.04359673336148262
Sigmoid,100,6,12800,30,0.043176546692848206,75000,0.03510219603776932
Sigmoid,100,6,25600,30,0.03445448726415634,72000,0.028454620391130447
